Id,SalePrice
1461,118809.74659319004
1462,153784.73223815695
1463,175644.8413623077
1464,194424.61110560308
1465,191084.99859409404
1466,169742.5629495277
1467,179301.25104079625
1468,159765.43981336366
1469,195791.79224135514
1470,112240.3138865206
1471,206350.55173784334
1472,98548.38749076569
1473,94607.09587874384
1474,141919.7938212399
1475,105598.60808727606
1476,338374.500976844
1477,237433.62213268166
1478,288824.33090454555
1479,280331.88903274504
1480,433609.42653810675
1481,301028.4153077642
1482,211360.11338810617
1483,183467.06013610485
1484,161868.48709851032
1485,204433.19663608976
1486,202175.49339505046
1487,301471.89696140104
1488,232259.34106788886
1489,179945.0105128441
1490,229170.89124808452
1491,199251.63301891042
1492,92844.61503630265
1493,186972.67865057723
1494,285206.8919448975
1495,274607.4799468654
1496,224940.85915353827
1497,176370.81809229954
1498,165203.4367573657
1499,166565.069969636
1500,155994.45294784423
1501,167577.39867916924
1502,142063.00671768564
1503,286621.04624325904
1504,233238.11347737425
1505,219469.39258883096
1506,197870.99083113292
1507,241985.5105515762
1508,201232.0899655803
1509,159656.9631672987
1510,138455.70007821513
1511,149241.99926586056
1512,175853.841908753
1513,157527.3540895483
1514,143541.11600366214
1515,197203.79741800722
1516,161371.09355307656
1517,166533.4767095324
1518,132211.14948085032
1519,206959.73880377412
1520,121835.91435726898
1521,126382.99534250371
1522,188732.5793707611
1523,103269.11815498742
1524,128992.9842882829
1525,112066.37634182554
1526,108590.51756105314
1527,101782.34851645681
1528,142785.25069591383
1529,144872.06461926975
1530,177064.63805900767
1531,106744.17393944884
1532,103601.89956127592
1533,149412.06840467977
1534,133542.84495645954
1535,159526.6740662991
1536,115828.13659509168
1537,58887.10773479429
1538,140920.941379895
1539,211197.39480055997
1540,91599.30433459245
1541,145862.17924309114
1542,141179.41987227573
1543,177348.8049815459
1544,90846.95177896591
1545,109025.21692701578
1546,135130.35668065585
1547,137339.796382314
1548,136451.41548950132
1549,114571.68603296312
1550,128656.61413579893
1551,121614.43658516652
1552,124495.76969218043
1553,145647.41901862173
1554,111082.31195145585
1555,167619.46525133803
1556,83952.05699682723
1557,102524.50472210992
1558,99877.15252953727
1559,77385.07992172729
1560,133883.87873056362
1561,126602.21810884478
1562,127847.12480530588
1563,115517.19267590078
1564,162933.6570960437
1565,143861.0242958544
1566,237745.87994196566
1567,77111.33898700716
1568,226519.93393775288
1569,124555.73566047494
1570,143952.14680684038
1571,126386.00707285685
1572,141787.84862899574
1573,247467.8110182144
1574,116194.48914255644
1575,225175.63546686879
1576,249567.64922335473
1577,180077.5265730844
1578,143447.74086003122
1579,138297.87918582073
1580,195237.2757457828
1581,156761.8038713903
1582,120660.93469404084
1583,298828.2881046755
1584,215480.8711474025
1585,141585.67743648484
1586,60686.146725144936
1587,104778.28366778568
1588,144512.8501699964
1589,94903.87181549077
1590,139952.7035047824
1591,90294.65045992071
1592,126292.57193402406
1593,129814.53815707444
1594,125474.04863073869
1595,104858.08506796691
1596,194759.34882283196
1597,163897.50741583336
1598,215841.81620447873
1599,173330.1024477421
1600,172074.12604479128
1601,63295.960053240036
1602,115876.01856424892
1603,75316.21317701913
1604,257815.55507775684
1605,251879.18565543153
1606,173446.95964127747
1607,176569.23919398632
1608,224825.1678460572
1609,183519.5497348489
1610,152604.1947689718
1611,138734.18411915656
1612,171800.57788337482
1613,168082.07859914267
1614,129402.22177359262
1615,96860.2745526075
1616,80231.52998551026
1617,94931.90087415931
1618,118274.42031802391
1619,140170.32136384616
1620,142784.4063881871
1621,142982.88270052455
1622,142407.92859491863
1623,264663.84827209037
1624,216614.67252129441
1625,115792.77117668475
1626,173158.68782143426
1627,186108.63869281343
1628,290344.0015395398
1629,182176.52413322788
1630,328459.8657896713
1631,217628.27318402458
1632,239855.30676741566
1633,179188.04695275082
1634,184712.58781107783
1635,183056.0741185073
1636,153387.47891229024
1637,200565.78761073077
1638,191525.8147866053
1639,189811.66311285
1640,268382.28845290124
1641,186998.20578881708
1642,234966.14181974813
1643,216731.33312128016
1644,236252.08410123465
1645,218586.86388383113
1646,159699.93243454347
1647,163061.2149754698
1648,128979.75862006581
1649,142597.71730038614
1650,104236.93139618855
1651,118013.24407131878
1652,99169.33211302818
1653,102726.88627491548
1654,141085.08781396333
1655,133801.51562698864
1656,133963.60610059564
1657,141922.043967347
1658,139838.4627412552
1659,108896.94294625799
1660,151998.043213284
1661,433189.4029704521
1662,362176.04028774804
1663,363566.4886574804
1664,474295.02591571654
1665,296711.85182195745
1666,308588.69801468967
1667,359287.57234365976
1668,334254.68465068814
1669,297099.404836672
1670,340075.6025160543
1671,253832.30203450078
1672,385612.1997438332
1673,287193.2283866581
1674,237309.93560360558
1675,195956.9667561193
1676,194737.18777246008
1677,218057.99545872418
1678,416881.4900542331
1679,347439.63101679663
1680,316758.0794644018
1681,241413.79840049558
